Year,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Germany (GDR),East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Hebrides,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Yemen,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,People's Republic of the Congo,Peru,Philippines,Poland,Portugal,Qatar,Republic of the Congo,Rhodesia,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Serbia-Montenegro,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,South Yemen,Soviet Union,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis and Futuna,West Bank and Gaza Strip,West Germany (FRG),Western Sahara,Yemen,Yugoslavia,Zaire,Zambia,Zimbabwe
1970,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,12,468,33,0,0,0,2,0,0,0,20,0,0,0,0,0,0
1971,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,35,0,0,0,0,81,247,8,0,0,0,4,0,0,0,13,0,0,0,0,1,0
1972,0,0,1,0,0,0,20,0,8,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,5,15,4,0,0,0,7,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,9,0,0,0,0,292,68,7,0,0,0,1,0,0,1,24,0,0,0,3,0,0
1973,1,0,0,0,0,0,60,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,3,1,15,0,0,2,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,189,58,0,0,0,0,4,0,0,0,27,0,0,1,1,1,0
1974,0,0,0,1,0,0,71,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,0,0,0,4,0,0,0,29,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,11,0,3,12,22,0,2,3,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,1,0,0,0,1,203,94,0,0,0,0,3,0,0,0,28,0,0,1,0,0,0
1975,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,39,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,13,1,7,2,7,0,0,12,0,0,4,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136,1,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0,10,0,0,0,0,194,149,0,0,0,0,5,0,0,0,35,0,0,0,0,1,0
1976,0,0,1,0,0,0,54,0,0,4,0,1,0,0,2,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,5,0,0,0,58,0,0,0,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0,0,1,0,0,4,3,5,2,173,0,1,1,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,2,2,0,3,0,0,0,0,0,1,0,0,0,3,2,0,1,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,4,2,1,0,0,0,0,1,0,35,0,0,0,0,194,105,0,0,0,0,4,0,0,1,50,0,0,0,0,0,0
1977,0,0,0,0,1,0,17,0,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,80,0,5,0,0,1,0,0,0,0,1,0,0,1,0,7,1,6,0,0,0,4,0,0,0,53,0,0,0,0,0,0,0,47,0,0,8,0,0,0,0,0,0,0,0,1,1,0,5,0,3,6,308,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,19,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0,0,0,2,4,2,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,147,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,189,0,0,0,1,140,130,0,0,0,0,3,0,0,0,40,0,0,1,1,1,0
1978,0,0,1,0,2,0,25,0,2,1,0,0,0,0,0,0,8,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,8,0,158,0,2,0,0,2,0,0,0,1,0,0,1,1,0,11,2,91,0,0,0,2,0,0,0,59,0,0,0,0,0,0,0,39,0,0,29,0,0,1,0,0,0,0,0,0,2,0,27,0,3,23,277,0,0,35,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,2,0,8,0,3,0,0,0,76,0,0,0,2,0,2,0,0,0,0,4,36,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,209,0,0,0,0,0,0,1,3,1,0,0,0,5,0,0,0,52,0,0,0,1,100,87,0,0,0,0,7,0,0,4,19,1,0,0,0,3,0
1979,3,0,1,0,3,0,16,0,2,5,0,0,1,1,0,0,8,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,49,0,140,0,2,0,0,5,0,0,0,3,1,0,2,0,0,2,1,326,0,0,0,4,0,0,0,212,0,0,1,0,0,0,0,9,0,0,60,0,0,2,0,6,0,0,0,20,0,0,82,2,8,129,209,0,2,16,0,0,0,0,0,0,0,0,38,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2,5,19,31,0,3,0,0,0,206,0,0,0,0,1,7,4,0,0,0,3,50,1,15,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,279,3,0,0,0,0,0,1,6,28,0,0,1,16,0,1,1,141,0,8,0,2,239,69,0,0,0,0,4,0,0,23,17,0,0,0,0,1,0
